"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","Department","salary","left"
"5224",0.71,0.97,3,189,3,1,0,10,1,"0"
"7708",0.55,0.97,4,162,3,0,0,7,2,"0"
"9110",0.91,0.7,3,195,3,0,0,8,3,"0"
"9872",0.53,0.62,4,162,2,0,0,8,2,"0"
"6150",0.75,0.91,4,243,3,0,0,10,1,"0"
"10468",0.59,0.52,6,190,4,0,0,8,3,"0"
"2502",0.64,0.69,3,207,2,1,0,3,2,"0"
"6322",0.67,0.75,4,133,2,0,0,3,3,"0"
"3727",0.63,0.85,3,232,4,0,0,3,3,"0"
"11292",0.62,0.91,3,251,10,0,0,8,3,"0"
"10973",0.89,0.74,5,260,6,0,0,10,3,"0"
"12934",0.62,0.69,4,184,3,0,0,10,2,"0"
"4859",0.63,0.66,4,157,2,0,0,9,3,"0"
"8476",0.7,0.72,2,189,3,0,0,8,2,"0"
"13061",0.61,0.73,5,156,4,0,0,8,2,"0"
"13225",0.51,0.8,4,198,6,0,0,5,3,"0"
"13500",0.69,0.76,3,174,6,0,0,8,3,"0"
"2926",0.5,0.89,5,222,3,0,0,8,2,"0"
"4396",0.92,0.78,5,193,4,0,0,10,1,"0"
"3231",0.91,0.42,2,142,3,1,0,8,3,"0"
"5059",0.67,1,4,145,3,1,1,8,3,"0"
"4860",0.92,0.49,5,259,3,1,0,9,3,"0"
"10289",0.88,0.59,4,227,3,0,0,4,3,"0"
"12853",0.93,0.59,3,202,2,0,0,2,1,"0"
"9406",0.51,0.7,4,142,4,1,0,8,2,"0"
"9031",0.94,0.69,3,269,3,0,0,8,2,"0"
"9512",0.5,0.53,3,121,4,0,0,9,2,"0"
"8146",0.89,0.57,3,252,2,0,0,9,3,"0"
"13068",0.78,0.4,4,145,5,1,1,8,3,"0"
"3006",0.54,0.74,3,185,4,0,0,8,2,"0"
"9370",0.77,0.51,4,141,3,1,0,10,2,"0"
"13834",0.7,0.68,5,225,7,0,0,8,3,"0"
"5607",0.66,0.92,4,239,3,0,0,2,3,"0"
"9444",0.57,0.83,5,189,3,0,0,9,2,"0"
"7139",0.8,0.98,3,209,3,0,0,10,3,"0"
"6681",0.78,0.72,4,258,3,0,0,10,3,"0"
"2793",0.96,0.92,4,148,3,0,0,10,3,"0"
"2071",0.86,0.99,3,169,2,1,0,8,2,"0"
"10656",0.96,0.85,5,168,2,0,0,9,2,"0"
"8375",0.57,0.75,5,172,4,0,0,9,3,"0"
"9639",0.68,0.84,5,161,3,0,0,8,2,"0"
"11519",0.63,0.93,4,233,3,0,0,3,3,"0"
"5179",0.96,0.73,5,169,3,1,0,6,2,"0"
"3332",0.84,0.94,4,270,3,1,0,9,2,"0"
"5175",0.8,0.97,5,258,3,0,0,3,3,"0"
"5577",0.72,0.83,5,193,2,0,0,9,3,"0"
"8796",0.48,0.89,3,224,3,0,0,8,2,"0"
"13997",0.53,0.91,4,167,4,0,0,4,1,"0"
"11882",0.66,0.66,4,273,4,1,0,3,2,"0"
"13518",0.26,0.99,5,184,5,0,0,2,2,"0"
"3982",0.7,0.78,4,254,4,0,0,8,2,"0"
"13161",0.49,0.67,3,140,2,0,0,2,3,"0"
"10321",0.63,0.82,5,275,3,1,0,8,3,"0"
"4422",0.59,0.98,4,198,3,0,0,6,2,"0"
"12807",0.55,0.93,5,196,3,0,0,3,3,"0"
"9666",0.97,0.49,3,199,2,0,0,9,3,"0"
"6693",0.8,0.38,3,215,6,0,0,9,2,"0"
"4268",0.64,0.89,3,175,3,1,0,6,1,"0"
"12919",0.96,0.55,3,225,4,1,0,8,3,"0"
"9418",0.14,0.89,3,212,6,0,0,1,2,"0"
"5587",0.81,0.99,2,156,5,0,0,8,3,"0"
"3619",0.73,0.83,4,270,2,0,0,2,1,"0"
"10591",0.56,0.83,3,236,3,1,0,10,3,"0"
"7921",0.5,0.65,5,285,6,0,0,4,1,"0"
"14038",0.81,0.81,5,250,4,0,1,8,3,"0"
"8528",0.88,0.68,3,185,2,0,0,9,2,"0"
"10934",0.58,0.97,3,274,4,1,1,8,3,"0"
"2893",0.58,0.56,3,151,2,0,0,6,2,"0"
"14099",0.96,0.59,3,241,3,0,0,6,2,"0"
"11442",0.61,0.81,4,134,3,0,0,8,3,"0"
"10805",0.66,0.65,3,196,3,1,0,10,2,"0"
"8618",0.3,0.76,5,224,2,0,0,6,3,"0"
"2458",0.65,0.52,5,149,3,0,0,8,2,"0"
"7832",0.44,0.42,2,199,2,0,0,9,3,"0"
"2839",0.75,0.64,4,247,3,1,0,8,3,"0"
"10754",0.6,0.86,6,247,6,0,0,6,3,"0"
"7349",0.61,0.63,4,146,4,1,0,8,2,"0"
"13965",0.5,0.73,3,154,10,0,0,3,3,"0"
"2786",0.71,0.88,3,140,2,0,0,10,2,"0"
"14193",0.49,0.89,4,201,8,0,0,8,3,"0"
"7211",0.51,0.89,6,170,4,0,0,2,2,"0"
"10100",0.55,0.74,2,116,3,0,0,8,2,"0"
"13815",0.69,0.86,5,195,6,0,0,4,1,"0"
"6057",0.54,0.47,2,193,4,0,0,8,3,"0"
"3830",0.83,0.86,3,165,3,0,0,8,2,"0"
"9654",0.82,0.82,5,193,4,0,0,10,3,"0"
"6008",0.67,0.58,5,161,3,1,0,9,2,"0"
"5291",0.59,0.94,4,136,2,0,0,8,3,"0"
"7482",0.44,0.58,2,157,2,0,0,8,2,"0"
"8003",0.57,0.47,2,158,2,0,0,6,3,"0"
"8168",0.63,0.83,4,159,2,0,0,5,2,"0"
"8134",0.94,0.73,3,154,3,0,0,10,2,"0"
"9242",0.96,0.87,4,187,2,0,0,5,3,"0"
"11007",0.8,0.81,5,248,2,1,0,7,2,"0"
"11536",0.57,0.66,3,268,3,0,0,8,2,"0"
"2538",0.56,0.49,5,163,3,0,0,8,2,"0"
"10823",0.68,0.66,4,229,3,0,0,3,3,"0"
"4988",0.59,0.62,3,219,3,0,0,8,2,"0"
"3507",0.21,0.42,4,269,4,1,0,7,3,"0"
"5743",0.64,0.86,5,222,3,0,0,8,3,"0"
"10310",0.61,0.7,4,161,3,1,0,4,1,"0"
"9273",0.95,0.51,3,254,4,0,0,10,3,"0"
"4043",0.71,0.89,3,244,4,0,0,7,3,"0"
"14029",0.68,0.79,4,184,3,0,0,5,2,"0"
"4315",0.36,0.94,3,113,5,1,0,10,3,"0"
"3496",0.66,0.87,3,186,2,0,0,3,3,"0"
"5714",0.59,0.59,3,173,3,0,0,3,2,"0"
"4944",0.55,0.65,3,207,3,0,0,10,2,"0"
"11421",0.78,0.43,4,275,3,0,0,3,2,"0"
"13792",0.51,0.86,3,182,10,0,0,8,2,"0"
"9843",0.36,0.68,2,126,4,0,0,5,1,"0"
"3728",0.81,0.52,3,255,5,0,0,3,3,"0"
"2974",0.66,0.7,4,161,3,0,0,7,2,"0"
"8029",0.5,0.99,4,272,2,0,0,8,3,"0"
"2795",0.13,0.89,4,249,6,1,0,9,3,"0"
"8380",0.69,0.61,2,141,3,0,0,10,3,"0"
"9507",0.5,0.63,5,167,2,0,0,10,2,"0"
"4730",0.6,0.9,4,178,3,0,1,7,1,"0"
"10889",0.2,0.94,6,191,5,0,0,9,2,"0"
"8640",0.58,0.96,5,143,2,0,0,8,2,"0"
"8633",0.96,0.53,3,166,3,0,0,5,2,"0"
"9921",0.54,0.83,3,201,3,0,0,1,1,"0"
"5827",0.21,0.9,4,235,4,0,0,8,3,"0"
"9483",0.63,0.88,4,260,2,0,0,8,2,"0"
"7858",0.36,0.63,2,278,4,0,0,7,2,"0"
"10017",0.61,0.64,3,187,2,0,0,8,3,"0"
"13501",0.98,0.55,3,166,6,1,0,8,3,"0"
"11730",0.93,0.7,5,231,7,0,1,8,1,"0"
"5099",0.17,0.82,5,193,5,0,0,3,1,"0"
"13662",0.74,0.63,3,180,3,0,0,4,1,"0"
"2818",0.99,1,4,223,2,1,0,6,2,"0"
"4663",0.66,0.57,3,169,4,1,0,5,3,"0"
"3036",0.34,0.82,6,197,5,1,0,10,3,"0"
"3720",0.57,0.45,3,189,2,0,0,10,3,"0"
"9081",0.73,0.46,4,240,4,1,0,7,3,"0"
"2261",0.75,0.68,3,150,2,1,0,9,3,"0"
"7062",0.59,0.49,5,122,5,0,0,10,3,"0"
"13597",0.67,0.67,4,141,2,1,0,8,2,"0"
"8337",0.52,0.39,6,246,4,0,0,8,3,"0"
"10642",0.93,0.59,3,202,2,0,0,2,1,"0"
"6857",0.99,0.64,3,174,4,0,0,3,2,"0"
"4073",0.96,0.49,4,252,3,1,0,8,3,"0"
"6769",0.31,0.75,4,220,3,0,0,9,2,"0"
"8063",0.24,0.91,5,258,6,0,0,9,2,"0"
"6108",0.62,0.92,3,228,2,0,0,8,2,"0"
"9269",0.54,0.48,6,196,2,0,0,2,3,"0"
"11586",0.91,0.75,2,147,3,0,0,5,2,"0"
"13318",0.68,0.65,3,173,3,1,0,5,1,"0"
"3797",0.48,0.65,3,199,2,0,0,10,2,"0"
"3435",0.62,0.67,2,153,3,0,0,5,2,"0"
"3640",0.71,0.77,2,255,3,0,0,9,3,"0"
"9501",0.91,0.94,4,264,4,0,0,10,2,"0"
"2957",0.85,0.79,3,157,4,0,0,9,3,"0"
"4203",0.13,0.65,4,194,4,0,0,9,3,"0"
"2571",0.8,0.96,3,257,5,0,0,9,3,"0"
"8233",0.66,0.65,4,244,2,0,0,3,3,"0"
"2710",0.67,0.73,3,203,2,0,0,10,2,"0"
"3538",0.93,0.92,3,205,3,0,0,8,3,"0"
"5018",0.59,0.9,4,261,4,0,0,10,3,"0"
"3169",0.71,0.62,3,258,2,0,0,10,3,"0"
"3597",0.48,0.5,4,173,3,0,0,8,2,"0"
"6567",0.91,0.82,4,259,3,0,0,10,3,"0"
"9964",0.89,0.99,4,258,3,1,0,10,3,"0"
"10732",0.89,0.57,4,176,4,0,0,9,1,"0"
"5070",0.66,0.84,4,197,2,0,0,2,2,"0"
"13034",0.68,0.66,4,229,3,0,0,3,3,"0"
"10342",0.69,0.82,4,272,2,0,0,10,2,"0"
"6498",0.5,0.55,2,128,3,0,0,8,2,"0"
"11690",0.51,0.76,4,140,3,0,0,9,2,"0"
"7272",0.79,0.98,3,195,2,0,0,8,2,"0"
"2918",0.74,0.81,5,106,5,0,0,8,3,"0"
"4985",0.91,0.8,4,181,3,0,0,8,2,"0"
"2185",0.79,0.84,3,176,3,0,0,9,2,"0"
"7110",0.78,0.91,4,202,2,0,0,8,3,"0"
"3662",0.78,0.79,5,233,3,1,0,7,1,"0"
"14027",0.88,0.81,4,179,3,0,0,4,1,"0"
"4908",0.62,0.49,3,158,2,0,0,8,2,"0"
"10805.1",0.66,0.65,3,196,3,1,0,10,2,"0"
"9814",0.64,0.94,3,204,2,0,0,10,1,"0"
"4354",0.72,0.74,3,187,2,0,0,8,3,"0"
"2220",0.28,0.55,4,208,4,0,0,5,3,"0"
"2020",0.48,0.84,4,252,3,0,0,10,3,"0"
"2197",0.7,0.87,3,260,2,0,0,4,2,"0"
"9166",0.89,0.65,3,210,3,0,0,5,2,"0"
"7056",0.49,0.83,3,168,4,1,0,2,2,"0"
"13589",0.95,0.5,4,259,3,0,0,8,2,"0"
"10272",0.79,0.57,4,152,3,0,0,10,2,"0"
"10721",0.52,0.96,3,271,3,1,0,10,3,"0"
"8602",0.56,0.88,4,273,3,0,0,9,2,"0"
"7731",0.13,0.72,4,247,3,0,0,8,3,"0"
"9189",0.67,0.55,3,246,3,0,0,1,3,"0"
"14137",0.42,0.69,3,126,2,0,0,8,2,"0"
"13417",0.77,0.89,4,153,7,0,0,8,3,"0"
"6921",0.93,0.96,4,223,3,1,0,9,1,"0"
"3625",0.65,0.66,5,239,4,0,0,10,2,"0"
"11755",0.61,0.79,5,230,10,0,0,4,1,"0"
"5817",0.85,0.5,4,267,3,0,0,8,2,"0"
"4322",0.98,0.63,3,137,3,0,0,9,3,"0"
"11395",0.14,0.79,5,271,4,0,0,4,1,"0"
"6995",0.7,0.55,4,233,2,0,0,9,3,"0"
"2639",0.69,0.61,5,229,3,0,0,10,3,"0"
"8547",0.49,0.89,4,240,2,0,0,7,3,"0"
"5283",0.69,0.55,4,234,2,0,0,8,3,"0"
"2565",0.83,0.74,3,221,2,0,0,9,3,"0"
"7538",0.42,0.53,3,181,5,0,0,10,3,"0"
"13151",0.52,0.63,3,233,3,0,1,8,3,"0"
"5669",0.77,0.55,3,225,3,0,0,8,3,"0"
"8754",0.17,0.52,6,176,5,0,0,9,3,"0"
"12823",0.52,0.97,4,170,3,0,0,9,3,"0"
"7908",0.8,0.81,3,199,4,1,0,9,3,"0"
"3357",0.6,0.6,3,221,2,0,0,7,3,"0"
"9078",0.56,0.53,3,189,3,0,0,7,3,"0"
"4414",0.6,0.65,4,160,2,0,0,3,2,"0"
"11819",0.66,0.6,3,210,2,0,0,8,2,"0"
"10293",0.45,0.54,2,184,2,0,0,3,2,"0"
"7439",0.52,0.7,4,219,3,0,0,2,3,"0"
"3582",0.52,0.89,5,193,4,0,0,7,3,"0"
"8730",0.6,0.67,3,249,2,0,0,8,3,"0"
"11724",0.54,0.78,3,156,7,0,0,8,3,"0"
"7104",0.56,0.78,3,200,2,0,0,9,3,"0"
"2770",0.76,0.4,2,122,5,0,0,8,2,"0"
"10005",0.75,0.63,3,148,4,0,0,10,3,"0"
"9174",0.82,0.75,3,161,3,0,0,8,2,"0"
"5183",0.66,0.61,3,260,3,0,0,3,2,"0"
"9916",0.97,0.76,6,142,2,0,0,6,2,"0"
"4010",0.15,0.81,4,160,5,0,0,10,3,"0"
"6961",0.64,0.79,3,253,2,0,0,8,2,"0"
"4789",0.93,0.74,2,169,4,0,0,9,2,"0"
"2673",0.68,0.51,4,176,4,1,0,8,2,"0"
"6044",0.58,0.62,3,213,2,0,0,8,3,"0"
"6614",0.86,0.87,3,197,4,1,0,9,3,"0"
"12905",0.73,0.97,4,163,3,0,0,8,3,"0"
"7433",1,0.97,5,141,2,0,0,1,3,"0"
"4745",0.61,0.68,4,244,3,0,0,8,2,"0"
"10206",0.56,0.82,3,208,2,0,0,9,3,"0"
"11669",0.62,0.73,3,144,10,1,0,9,1,"0"
"4023",0.68,0.65,3,183,4,0,0,9,2,"0"
"10247",0.64,0.45,3,135,6,0,0,8,2,"0"
"8211",0.66,0.68,3,202,3,0,0,10,2,"0"
"9010",0.86,0.85,2,195,4,0,0,9,3,"0"
"10599",0.52,0.98,4,265,3,0,0,6,3,"0"
"13876",0.89,0.59,3,265,8,0,0,7,2,"0"
"9274",0.5,0.64,3,249,2,1,0,10,2,"0"
"3884",0.49,0.61,3,181,3,0,0,6,3,"0"
"10285",0.94,0.58,5,190,3,1,0,9,1,"0"
"13123",0.81,0.62,4,153,4,0,0,7,2,"0"
"11000",0.79,0.67,5,156,2,0,0,6,2,"0"
"13406",0.61,0.89,3,242,10,0,0,8,1,"0"
"2042",0.98,0.91,4,240,3,0,0,10,2,"0"
"6647",0.49,0.56,5,202,2,0,0,5,3,"0"
"5314",0.55,0.58,5,262,3,0,0,9,3,"0"
"7614",0.85,0.74,3,157,3,0,0,10,3,"0"
"9755",0.96,0.82,5,185,3,0,0,10,2,"0"
"11163",0.78,0.89,4,137,3,0,0,3,3,"0"
"11638",0.94,0.64,5,247,10,0,0,8,3,"0"
"6831",0.56,0.77,5,238,4,0,0,10,3,"0"
"5407",0.73,0.78,4,181,4,0,0,3,2,"0"
"9963",0.72,0.39,3,257,3,0,0,10,2,"0"
"7317.1",0.17,0.85,3,168,4,0,0,3,2,"0"
"13161.1",0.49,0.67,3,140,2,0,0,2,3,"0"
"3697",0.7,0.57,4,211,3,0,0,2,1,"0"
"11310",0.55,0.4,3,158,3,0,0,2,2,"0"
"4779",0.63,0.9,3,142,3,0,0,9,3,"0"
"5393",0.89,0.63,3,268,3,0,0,9,3,"0"
"10491",0.5,0.7,4,135,3,0,0,2,2,"0"
"13405",0.75,0.6,4,186,10,1,0,5,2,"0"
"5353",0.89,0.69,4,137,3,0,0,8,3,"0"
"4463",0.65,0.86,4,269,2,1,0,2,3,"0"
"9213",0.15,0.59,5,209,4,1,0,9,3,"0"
"11386",0.67,0.67,4,141,2,1,0,8,2,"0"
"5755",0.78,0.57,3,177,3,0,0,1,3,"0"
"3194",0.49,0.58,5,186,2,0,0,3,1,"0"
"13190",0.81,0.55,3,199,2,1,0,3,3,"0"
"7938",0.49,0.99,4,258,3,1,0,8,2,"0"
"7297",0.53,0.4,5,212,3,1,0,10,3,"0"
"2784",0.61,0.93,2,247,3,0,0,10,2,"0"
"6119",0.15,0.87,4,194,4,0,0,8,2,"0"
"6271",0.73,0.49,3,168,2,1,0,8,2,"0"
"12810",0.52,0.98,4,265,3,0,0,6,3,"0"
"14209",0.85,0.54,3,185,10,0,1,4,1,"0"
"9961",0.51,0.79,5,222,2,0,0,10,2,"0"
"9207",0.51,0.51,4,189,3,0,0,9,2,"0"
"5556",0.9,0.95,3,133,4,0,0,10,3,"0"
"8210",0.57,0.8,4,262,3,0,0,10,2,"0"
"11464",0.8,0.7,4,246,3,0,1,5,2,"0"
"4643",0.59,0.82,2,233,2,0,0,3,3,"0"
"2504",0.61,0.99,4,251,2,0,0,3,2,"0"
"5507",0.92,0.81,3,196,2,0,0,8,3,"0"
"3080",0.82,0.97,3,244,5,0,0,8,3,"0"
"5000",0.64,0.97,4,268,2,0,0,10,2,"0"
"6532",0.62,0.89,3,201,3,0,0,10,3,"0"
"13314",0.96,0.82,4,244,3,0,0,9,1,"0"
"8038",0.14,0.54,5,275,4,1,0,8,1,"0"
"14186",0.82,0.58,5,263,8,0,0,3,3,"0"
"9703",0.54,0.72,6,222,5,0,0,5,1,"0"
"8494",0.74,0.58,4,178,4,0,0,8,3,"0"
"9635",0.93,0.69,3,213,4,0,0,8,2,"0"
"11775",0.64,0.6,3,265,4,0,0,8,2,"0"
"4236",0.85,0.51,3,153,4,0,0,10,3,"0"
"9054",0.58,0.81,4,266,2,0,0,9,2,"0"
"10683",0.18,0.54,4,145,5,0,0,7,2,"0"
"6346",0.69,0.56,2,214,2,0,0,8,2,"0"
"9157",0.52,0.78,3,181,3,0,0,7,3,"0"
"5945",0.45,0.6,2,98,3,0,0,6,2,"0"
"7887",0.8,0.57,3,176,3,0,0,8,1,"0"
"6375",0.69,0.97,5,240,4,0,0,10,3,"0"
"4462",0.52,0.63,3,225,3,0,0,2,3,"0"
"10428",0.71,0.76,3,134,3,1,0,9,2,"0"
"10330",0.56,0.57,4,161,3,0,0,8,3,"0"
"5260",0.92,0.8,4,263,4,0,0,7,2,"0"
"5564",0.63,0.78,4,160,2,0,0,6,1,"0"
"5795",0.8,0.88,3,154,2,0,0,6,3,"0"
"2013",0.48,0.94,5,255,6,0,0,1,3,"0"
"8513",0.55,0.88,3,173,3,1,0,10,2,"0"
"13282",0.86,0.91,4,253,3,0,0,3,2,"0"
"4084",0.96,0.83,4,132,6,0,0,10,1,"0"
"9271",0.7,0.5,3,251,2,0,0,10,3,"0"
"8461",0.56,0.84,4,149,4,1,0,3,3,"0"
"7457",0.99,0.86,3,166,2,0,0,9,2,"0"
"14127",0.94,0.99,2,157,3,0,0,8,3,"0"
"5464",0.72,0.71,5,137,3,0,0,10,2,"0"
"4642",0.62,0.53,5,169,3,0,0,3,2,"0"
"9766",0.6,0.61,3,104,5,0,0,3,3,"0"
"5292",0.95,0.7,6,243,3,0,0,8,3,"0"
"13048",0.68,0.49,3,178,3,1,0,7,2,"0"
"10310.1",0.61,0.7,4,161,3,1,0,4,1,"0"
"11272",0.58,0.59,3,207,7,0,1,4,3,"0"
"13858",0.88,0.51,3,211,7,0,0,8,3,"0"
"4855",0.79,0.69,4,209,2,0,0,9,3,"0"
"2801",0.94,0.75,5,238,2,0,0,9,3,"0"
"11756",0.88,0.6,4,208,7,0,1,4,1,"0"
"3619.1",0.73,0.83,4,270,2,0,0,2,1,"0"
"6100",0.87,0.98,4,266,2,1,0,6,1,"0"
"10528",0.56,0.93,4,260,4,0,0,7,2,"0"
"13728",0.71,0.97,5,208,8,1,0,4,3,"0"
"13651",0.77,0.99,4,260,3,0,0,8,3,"0"
"9922",0.23,0.74,5,120,4,0,0,1,1,"0"
"7687",0.67,0.92,4,156,2,0,0,9,3,"0"
"8535",0.51,0.5,4,216,2,1,0,4,3,"0"
"13440",0.71,0.64,3,267,3,0,0,10,2,"0"
"3910",0.62,0.88,5,146,3,0,0,8,2,"0"
"6591",0.66,0.76,3,207,2,0,0,1,2,"0"
"13096",0.67,0.87,5,254,2,0,0,9,2,"0"
"9788",0.63,0.7,5,177,2,1,0,8,3,"0"
"6786",0.64,0.94,3,148,2,0,0,6,3,"0"
"3658",0.78,0.91,3,238,2,0,0,7,1,"0"
"3821",0.79,0.54,5,212,4,0,0,5,3,"0"
"11496",0.77,0.75,3,170,7,0,0,8,2,"0"
"10869",0.43,0.71,3,186,2,0,0,1,3,"0"
"8400",0.71,0.72,4,177,3,0,0,1,2,"0"
"11284",0.66,0.85,3,178,8,1,0,5,3,"0"
"3353",0.94,0.88,4,270,3,0,0,3,3,"0"
"5493",0.37,0.46,3,173,6,0,0,7,3,"0"
"8748",0.71,1,3,181,4,0,0,10,3,"0"
"12891",0.63,0.55,4,200,3,1,0,7,2,"0"
"11638.1",0.94,0.64,5,247,10,0,0,8,3,"0"
"11109",0.95,0.8,3,225,2,0,0,8,1,"0"
"11114",0.75,0.51,2,215,2,1,0,8,2,"0"
"5356",0.14,0.96,3,196,5,1,0,8,3,"0"
"2399",0.54,0.93,4,161,4,1,0,2,2,"0"
"10369",0.66,0.54,5,191,2,0,0,3,2,"0"
"10254",0.75,0.72,5,174,3,0,0,8,3,"0"
"9414",0.67,0.63,3,270,5,0,0,8,2,"0"
"9318",0.79,0.98,4,185,2,0,0,5,3,"0"
"4887",0.73,0.63,4,174,3,0,0,1,2,"0"
"5719",0.63,0.84,3,269,2,0,0,6,2,"0"
"11637",0.41,0.67,6,221,10,0,0,5,3,"0"
"9763",0.48,0.48,2,245,5,0,0,6,3,"0"
"5639",0.23,0.48,3,139,4,0,0,3,3,"0"
"3614",0.6,0.95,3,266,3,0,0,8,3,"0"
"13597.1",0.67,0.67,4,141,2,1,0,8,2,"0"
"7431",0.79,0.77,6,233,6,0,0,8,2,"0"
"11789",0.82,0.56,2,227,5,1,0,4,1,"0"
"2210",0.5,0.63,3,172,2,0,0,7,3,"0"
"5846",0.92,0.96,5,174,3,1,0,10,2,"0"
"3616",0.75,1,3,102,3,0,0,1,3,"0"
"10693",0.71,0.9,3,138,3,0,0,5,3,"0"
"3396",0.34,0.62,3,119,2,0,0,10,2,"0"
"6341",0.73,0.74,4,181,4,0,0,5,2,"0"
"9073",0.63,0.81,4,216,4,0,0,6,3,"0"
"13744",0.89,0.77,3,144,3,0,0,4,1,"0"
"5047",0.53,0.7,3,138,2,0,0,8,3,"0"
"10147",0.49,0.52,3,168,3,0,0,3,3,"0"
"8446",0.7,0.8,5,245,4,0,0,9,1,"0"
"3120",0.61,0.92,4,159,5,0,0,3,3,"0"
"6321",0.64,0.81,2,226,2,0,0,3,3,"0"
"5794",0.8,0.72,3,271,2,0,0,6,3,"0"
"4427",0.88,0.66,4,133,2,0,0,7,3,"0"
"13957",0.27,0.76,4,108,10,0,0,8,3,"0"
"6110",0.97,0.76,3,147,3,1,0,9,2,"0"
"11834",0.7,0.83,5,241,2,0,0,8,3,"0"
"11605",0.5,0.49,4,222,3,0,0,4,1,"0"
"7204",0.66,0.9,3,250,2,0,0,8,2,"0"
"2502.1",0.64,0.69,3,207,2,1,0,3,2,"0"
"9905",0.74,0.98,4,160,2,0,0,9,2,"0"
"13884",0.5,0.68,3,245,4,0,0,5,3,"0"
"13752",0.44,0.41,3,125,7,0,0,8,3,"0"
"11989",0.49,0.49,3,104,7,0,0,6,1,"0"
"11377",0.95,0.52,3,183,2,1,0,8,2,"0"
"13921",0.77,0.86,5,238,3,0,0,4,1,"0"
"9569",0.14,0.57,6,275,5,0,0,8,2,"0"
"9582",0.74,0.54,5,221,3,0,0,10,3,"0"
"7672",0.55,0.61,3,209,3,0,0,10,2,"0"
"9338",0.61,0.59,3,157,2,0,0,8,1,"0"
"6380",0.89,0.57,3,113,3,0,0,10,2,"0"
"3322",0.99,0.73,5,197,4,1,0,10,2,"0"
"6521",0.2,0.7,4,221,5,0,0,2,3,"0"
"5959",0.97,0.61,3,208,3,0,0,10,3,"0"
"8135",0.72,0.88,3,236,3,0,0,10,2,"0"
"7371",0.84,0.52,5,171,3,0,0,10,3,"0"
"9889",0.68,0.62,3,158,3,0,0,10,3,"0"
"11590",0.78,0.8,3,135,7,0,0,8,3,"0"
"11485",0.78,0.65,3,139,3,0,0,5,1,"0"
"7995",0.57,0.58,3,251,3,0,0,10,3,"0"
"9795",0.78,0.54,4,102,3,0,0,8,2,"0"
"14204",0.62,0.85,3,237,3,1,0,3,3,"0"
"2203",0.14,0.64,5,164,5,0,0,6,2,"0"
"10376",0.48,0.72,4,186,3,0,0,7,2,"0"
"3768",0.92,0.85,3,155,2,0,0,1,3,"0"
"9503",0.73,0.76,2,166,3,0,0,10,2,"0"
"8993",0.41,0.69,2,152,4,1,0,3,2,"0"
"5874",0.8,0.81,4,194,3,1,0,7,2,"0"
"9259",0.73,0.49,3,248,3,0,0,8,2,"0"
"6996",0.18,0.46,5,202,4,0,0,9,3,"0"
"3145",0.5,0.75,5,255,3,0,0,8,3,"0"
"6680",0.72,0.61,5,170,3,0,0,10,3,"0"
"9579",0.55,0.95,4,249,4,0,0,10,3,"0"
"5922",0.78,0.95,5,273,2,0,0,10,2,"0"
